threeday_yrmo,threeday_yr,year,dayofyear,varupwelZ1_mmsec_4-12mAvg
747,63,2015,188,5e-05
748,63,2015,188,5e-05
749,63,2015,188,5e-05
750,63,2015,188,5e-05
751,63,2015,188,5e-05
752,63,2015,188,5e-05
753,63,2015,188,5e-05
754,63,2015,188,5e-05
755,63,2015,188,5e-05
756,63,2015,188,5e-05
757,64,2015,191,9e-05
758,64,2015,191,9e-05
759,64,2015,191,9e-05
760,64,2015,191,9e-05
761,64,2015,191,9e-05
762,64,2015,191,9e-05
763,64,2015,191,9e-05
764,64,2015,191,9e-05
765,64,2015,191,9e-05
766,64,2015,191,9e-05
767,64,2015,191,9e-05
768,64,2015,191,9e-05
769,65,2015,194,6e-05
770,65,2015,194,6e-05
771,65,2015,194,6e-05
772,65,2015,194,6e-05
773,65,2015,194,6e-05
774,65,2015,194,6e-05
775,65,2015,194,6e-05
776,65,2015,194,6e-05
777,65,2015,194,6e-05
778,65,2015,194,6e-05
779,65,2015,194,6e-05
780,65,2015,194,6e-05
781,66,2015,197,3e-05
782,66,2015,197,3e-05
783,66,2015,197,3e-05
784,66,2015,197,3e-05
785,66,2015,197,3e-05
786,66,2015,197,3e-05
787,66,2015,197,3e-05
788,66,2015,197,3e-05
789,66,2015,197,3e-05
790,66,2015,197,3e-05
791,66,2015,197,3e-05
792,66,2015,197,3e-05
793,67,2015,200,4e-05
794,67,2015,200,4e-05
795,67,2015,200,4e-05
796,67,2015,200,4e-05
797,67,2015,200,4e-05
798,67,2015,200,4e-05
799,67,2015,200,4e-05
800,67,2015,200,4e-05
801,67,2015,200,4e-05
802,67,2015,200,4e-05
803,67,2015,200,4e-05
804,67,2015,200,4e-05
805,68,2015,203,7e-05
806,68,2015,203,7e-05
807,68,2015,203,7e-05
808,68,2015,203,7e-05
809,68,2015,203,7e-05
810,68,2015,203,7e-05
811,68,2015,203,7e-05
812,68,2015,203,7e-05
813,68,2015,203,7e-05
814,68,2015,203,7e-05
815,68,2015,203,7e-05
816,68,2015,203,7e-05
817,69,2015,206,8e-05
818,69,2015,206,8e-05
819,69,2015,206,8e-05
820,69,2015,206,8e-05
821,69,2015,206,8e-05
822,69,2015,206,8e-05
823,69,2015,206,8e-05
824,69,2015,206,8e-05
825,69,2015,206,8e-05
826,69,2015,206,8e-05
827,69,2015,206,8e-05
828,69,2015,206,8e-05
829,70,2015,209,7e-05
830,70,2015,209,7e-05
831,70,2015,209,7e-05
832,70,2015,209,7e-05
833,70,2015,209,7e-05
834,70,2015,209,7e-05
835,70,2015,209,7e-05
836,70,2015,209,7e-05
837,70,2015,209,7e-05
838,70,2015,209,7e-05
839,70,2015,209,7e-05
840,70,2015,209,7e-05
841,71,2015,212,5e-05
842,71,2015,212,5e-05
843,71,2015,212,5e-05
844,71,2015,212,5e-05
845,71,2015,212,5e-05
846,71,2015,212,5e-05
847,71,2015,212,5e-05
848,71,2015,212,5e-05
849,71,2015,212,5e-05
850,71,2015,212,5e-05
851,71,2015,212,5e-05
852,71,2015,212,5e-05
853,72,2015,215,4e-05
854,72,2015,215,4e-05
855,72,2015,215,4e-05
856,72,2015,215,4e-05
857,72,2015,215,4e-05
858,72,2015,215,4e-05
859,72,2015,215,4e-05
860,72,2015,215,4e-05
861,72,2015,215,4e-05
862,72,2015,215,4e-05
863,72,2015,215,4e-05
864,72,2015,215,4e-05
865,73,2015,218,7e-05
866,73,2015,218,7e-05
867,73,2015,218,7e-05
868,73,2015,218,7e-05
869,73,2015,218,7e-05
870,73,2015,218,7e-05
871,73,2015,218,7e-05
872,73,2015,218,7e-05
873,73,2015,218,7e-05
874,73,2015,218,7e-05
875,73,2015,218,7e-05
876,73,2015,218,7e-05
877,74,2015,221,9e-05
878,74,2015,221,9e-05
879,74,2015,221,9e-05
880,74,2015,221,9e-05
881,74,2015,221,9e-05
882,74,2015,221,9e-05
883,74,2015,221,9e-05
884,74,2015,221,9e-05
885,74,2015,221,9e-05
886,74,2015,221,9e-05
887,74,2015,221,9e-05
888,74,2015,221,9e-05
889,75,2015,224,7e-05
890,75,2015,224,7e-05
891,75,2015,224,7e-05
892,75,2015,224,7e-05
893,75,2015,224,7e-05
894,75,2015,224,7e-05
895,75,2015,224,7e-05
896,75,2015,224,7e-05
897,75,2015,224,7e-05
898,75,2015,224,7e-05
899,75,2015,224,7e-05
900,75,2015,224,7e-05
901,76,2015,227,4e-05
902,76,2015,227,4e-05
903,76,2015,227,4e-05
904,76,2015,227,4e-05
905,76,2015,227,4e-05
906,76,2015,227,4e-05
907,76,2015,227,4e-05
908,76,2015,227,4e-05
909,76,2015,227,4e-05
910,76,2015,227,4e-05
911,76,2015,227,4e-05
912,76,2015,227,4e-05
913,77,2015,230,7e-05
914,77,2015,230,7e-05
915,77,2015,230,7e-05
916,77,2015,230,7e-05
917,77,2015,230,7e-05
918,77,2015,230,7e-05
919,77,2015,230,7e-05
920,77,2015,230,7e-05
921,77,2015,230,7e-05
922,77,2015,230,7e-05
923,77,2015,230,7e-05
924,77,2015,230,7e-05
925,78,2015,233,8e-05
926,78,2015,233,8e-05
927,78,2015,233,8e-05
928,78,2015,233,8e-05
929,78,2015,233,8e-05
930,78,2015,233,8e-05
931,78,2015,233,8e-05
932,78,2015,233,8e-05
933,78,2015,233,8e-05
934,78,2015,233,8e-05
935,78,2015,233,8e-05
936,78,2015,233,8e-05
937,79,2015,236,9e-05
938,79,2015,236,9e-05
939,79,2015,236,9e-05
940,79,2015,236,9e-05
941,79,2015,236,9e-05
942,79,2015,236,9e-05
943,79,2015,236,9e-05
944,79,2015,236,9e-05
945,79,2015,236,9e-05
946,79,2015,236,9e-05
947,79,2015,236,9e-05
948,79,2015,236,9e-05
949,80,2015,239,7e-05
950,80,2015,239,7e-05
951,80,2015,239,7e-05
952,80,2015,239,7e-05
953,80,2015,239,7e-05
954,80,2015,239,7e-05
955,80,2015,239,7e-05
956,80,2015,239,7e-05
957,80,2015,239,7e-05
958,80,2015,239,7e-05
959,80,2015,239,7e-05
960,80,2015,239,7e-05
961,81,2015,242,3e-05
962,81,2015,242,3e-05
963,81,2015,242,3e-05
964,81,2015,242,3e-05
965,81,2015,242,3e-05
966,81,2015,242,3e-05
967,81,2015,242,3e-05
968,81,2015,242,3e-05
