threeday_yrmo,threeday_yr,year,dayofyear,varadvecX2_cmsec_0-40mAvg
742,62,2015,185,-0.01
743,62,2015,185,-0.01
744,62,2015,185,-0.01
745,63,2015,188,-0.01
746,63,2015,188,-0.01
747,63,2015,188,-0.01
748,63,2015,188,-0.01
749,63,2015,188,-0.01
750,63,2015,188,-0.01
751,63,2015,188,-0.01
752,63,2015,188,-0.01
753,63,2015,188,-0.01
754,63,2015,188,-0.01
755,63,2015,188,-0.01
756,63,2015,188,-0.01
757,64,2015,191,-0.008
758,64,2015,191,-0.008
759,64,2015,191,-0.008
760,64,2015,191,-0.008
761,64,2015,191,-0.008
762,64,2015,191,-0.008
763,64,2015,191,-0.008
764,64,2015,191,-0.008
765,64,2015,191,-0.008
766,64,2015,191,-0.008
767,64,2015,191,-0.008
768,64,2015,191,-0.008
769,65,2015,194,-0.011
770,65,2015,194,-0.011
771,65,2015,194,-0.011
772,65,2015,194,-0.011
773,65,2015,194,-0.011
774,65,2015,194,-0.011
775,65,2015,194,-0.011
776,65,2015,194,-0.011
777,65,2015,194,-0.011
778,65,2015,194,-0.011
779,65,2015,194,-0.011
780,65,2015,194,-0.011
781,66,2015,197,-0.009
782,66,2015,197,-0.009
783,66,2015,197,-0.009
784,66,2015,197,-0.009
785,66,2015,197,-0.009
786,66,2015,197,-0.009
787,66,2015,197,-0.009
788,66,2015,197,-0.009
789,66,2015,197,-0.009
790,66,2015,197,-0.009
791,66,2015,197,-0.009
792,66,2015,197,-0.009
793,67,2015,200,-0.007
794,67,2015,200,-0.007
795,67,2015,200,-0.007
796,67,2015,200,-0.007
797,67,2015,200,-0.007
798,67,2015,200,-0.007
799,67,2015,200,-0.007
800,67,2015,200,-0.007
801,67,2015,200,-0.007
802,67,2015,200,-0.007
803,67,2015,200,-0.007
804,67,2015,200,-0.007
805,68,2015,203,-0.008
806,68,2015,203,-0.008
807,68,2015,203,-0.008
808,68,2015,203,-0.008
809,68,2015,203,-0.008
810,68,2015,203,-0.008
811,68,2015,203,-0.008
812,68,2015,203,-0.008
813,68,2015,203,-0.008
814,68,2015,203,-0.008
815,68,2015,203,-0.008
816,68,2015,203,-0.008
817,69,2015,206,-0.009
818,69,2015,206,-0.009
819,69,2015,206,-0.009
820,69,2015,206,-0.009
821,69,2015,206,-0.009
822,69,2015,206,-0.009
823,69,2015,206,-0.009
824,69,2015,206,-0.009
825,69,2015,206,-0.009
826,69,2015,206,-0.009
827,69,2015,206,-0.009
828,69,2015,206,-0.009
829,70,2015,209,-0.009
830,70,2015,209,-0.009
831,70,2015,209,-0.009
832,70,2015,209,-0.009
833,70,2015,209,-0.009
834,70,2015,209,-0.009
835,70,2015,209,-0.009
836,70,2015,209,-0.009
837,70,2015,209,-0.009
838,70,2015,209,-0.009
839,70,2015,209,-0.009
840,70,2015,209,-0.009
841,71,2015,212,-0.009
842,71,2015,212,-0.009
843,71,2015,212,-0.009
844,71,2015,212,-0.009
845,71,2015,212,-0.009
846,71,2015,212,-0.009
847,71,2015,212,-0.009
848,71,2015,212,-0.009
849,71,2015,212,-0.009
850,71,2015,212,-0.009
851,71,2015,212,-0.009
852,71,2015,212,-0.009
853,72,2015,215,-0.007
854,72,2015,215,-0.007
855,72,2015,215,-0.007
856,72,2015,215,-0.007
857,72,2015,215,-0.007
858,72,2015,215,-0.007
859,72,2015,215,-0.007
860,72,2015,215,-0.007
861,72,2015,215,-0.007
862,72,2015,215,-0.007
863,72,2015,215,-0.007
864,72,2015,215,-0.007
865,73,2015,218,-0.006
866,73,2015,218,-0.006
867,73,2015,218,-0.006
868,73,2015,218,-0.006
869,73,2015,218,-0.006
870,73,2015,218,-0.006
871,73,2015,218,-0.006
872,73,2015,218,-0.006
873,73,2015,218,-0.006
874,73,2015,218,-0.006
875,73,2015,218,-0.006
876,73,2015,218,-0.006
877,74,2015,221,-0.008
878,74,2015,221,-0.008
879,74,2015,221,-0.008
880,74,2015,221,-0.008
881,74,2015,221,-0.008
882,74,2015,221,-0.008
883,74,2015,221,-0.008
884,74,2015,221,-0.008
885,74,2015,221,-0.008
886,74,2015,221,-0.008
887,74,2015,221,-0.008
888,74,2015,221,-0.008
889,75,2015,224,-0.011
890,75,2015,224,-0.011
891,75,2015,224,-0.011
892,75,2015,224,-0.011
893,75,2015,224,-0.011
894,75,2015,224,-0.011
895,75,2015,224,-0.011
896,75,2015,224,-0.011
897,75,2015,224,-0.011
898,75,2015,224,-0.011
899,75,2015,224,-0.011
900,75,2015,224,-0.011
901,76,2015,227,-0.008
902,76,2015,227,-0.008
903,76,2015,227,-0.008
904,76,2015,227,-0.008
905,76,2015,227,-0.008
906,76,2015,227,-0.008
907,76,2015,227,-0.008
908,76,2015,227,-0.008
909,76,2015,227,-0.008
910,76,2015,227,-0.008
911,76,2015,227,-0.008
912,76,2015,227,-0.008
913,77,2015,230,-0.009
914,77,2015,230,-0.009
915,77,2015,230,-0.009
916,77,2015,230,-0.009
917,77,2015,230,-0.009
918,77,2015,230,-0.009
919,77,2015,230,-0.009
920,77,2015,230,-0.009
921,77,2015,230,-0.009
922,77,2015,230,-0.009
923,77,2015,230,-0.009
924,77,2015,230,-0.009
925,78,2015,233,-0.008
926,78,2015,233,-0.008
927,78,2015,233,-0.008
928,78,2015,233,-0.008
929,78,2015,233,-0.008
930,78,2015,233,-0.008
931,78,2015,233,-0.008
932,78,2015,233,-0.008
933,78,2015,233,-0.008
934,78,2015,233,-0.008
935,78,2015,233,-0.008
936,78,2015,233,-0.008
937,79,2015,236,-0.009
938,79,2015,236,-0.009
939,79,2015,236,-0.009
940,79,2015,236,-0.009
941,79,2015,236,-0.009
942,79,2015,236,-0.009
943,79,2015,236,-0.009
944,79,2015,236,-0.009
945,79,2015,236,-0.009
946,79,2015,236,-0.009
947,79,2015,236,-0.009
948,79,2015,236,-0.009
949,80,2015,239,-0.008
950,80,2015,239,-0.008
951,80,2015,239,-0.008
952,80,2015,239,-0.008
953,80,2015,239,-0.008
954,80,2015,239,-0.008
955,80,2015,239,-0.008
956,80,2015,239,-0.008
957,80,2015,239,-0.008
958,80,2015,239,-0.008
959,80,2015,239,-0.008
960,80,2015,239,-0.008
961,81,2015,242,-0.007
962,81,2015,242,-0.007
963,81,2015,242,-0.007
964,81,2015,242,-0.007
965,81,2015,242,-0.007
966,81,2015,242,-0.007
967,81,2015,242,-0.007
968,81,2015,242,-0.007
969,81,2015,242,-0.007
970,81,2015,242,-0.007
971,81,2015,242,-0.007
972,81,2015,242,-0.007
973,82,2015,245,-0.009
974,82,2015,245,-0.009
975,82,2015,245,-0.009
976,82,2015,245,-0.009
977,82,2015,245,-0.009
978,82,2015,245,-0.009
979,82,2015,245,-0.009
980,82,2015,245,-0.009
981,82,2015,245,-0.009
