threeday_yrmo,threeday_yr,year,dayofyear,varvarsalt1_PSU_0-10mAvg
909,909,1985,206,25.3
910,910,1985,209,25.3
911,911,1985,212,25.8
912,912,1985,215,25.9
913,913,1985,218,25.8
914,914,1985,221,25.6
915,915,1985,224,25.5
916,916,1985,227,26.1
917,917,1985,230,26.3
918,918,1985,233,26.3
919,919,1985,236,26.3
920,920,1985,239,26.5
921,921,1985,242,26.6
922,922,1985,245,26.7
923,923,1985,248,26.6
924,924,1985,251,26.6
925,925,1985,254,26.7
926,926,1985,257,26.9
927,927,1985,260,27.0
928,928,1985,263,27.0
929,929,1985,266,26.9
930,930,1985,269,27.0
931,931,1985,272,27.3
932,932,1985,275,27.3
933,933,1985,278,27.3
934,934,1985,281,27.5
935,935,1985,284,27.6
936,936,1985,287,27.7
937,937,1985,290,27.8
938,938,1985,293,27.8
939,939,1985,296,27.9
940,940,1985,299,27.5
941,941,1985,302,27.2
942,942,1985,305,27.2
943,943,1985,308,26.9
944,944,1985,311,26.8
945,945,1985,314,26.8
946,946,1985,317,26.9
947,947,1985,320,27.0
948,948,1985,323,26.9
949,949,1985,326,26.9
950,950,1985,329,26.8
951,951,1985,332,26.8
952,952,1985,335,26.8
953,953,1985,338,26.8
954,954,1985,341,27.1
955,955,1985,344,27.0
956,956,1985,347,27.0
957,957,1985,350,27.1
958,958,1985,353,27.1
959,959,1985,356,27.0
960,960,1985,360,27.3
961,961,1986,2,27.6
962,962,1986,5,27.5
963,963,1986,8,27.6
964,964,1986,11,27.8
965,965,1986,14,27.8
966,966,1986,17,27.7
967,967,1986,20,27.6
968,968,1986,23,27.6
969,969,1986,26,27.4
970,970,1986,29,27.2
971,971,1986,32,27.3
972,972,1986,35,27.3
973,973,1986,38,27.3
974,974,1986,41,27.3
975,975,1986,44,27.4
976,976,1986,47,27.3
977,977,1986,50,27.3
978,978,1986,53,27.6
979,979,1986,56,27.7
980,980,1986,59,27.7
981,981,1986,62,27.5
982,982,1986,65,27.4
983,983,1986,68,27.4
984,984,1986,71,27.5
985,985,1986,74,27.5
986,986,1986,77,27.2
987,987,1986,80,27.1
988,988,1986,83,27.0
989,989,1986,86,27.4
990,990,1986,89,27.3
991,991,1986,92,27.0
992,992,1986,95,26.9
993,993,1986,98,26.9
994,994,1986,101,27.1
995,995,1986,104,27.0
996,996,1986,107,26.9
997,997,1986,110,26.9
998,998,1986,113,27.0
999,999,1986,116,27.1
1000,1000,1986,119,27.1
1001,1001,1986,122,26.7
1002,1002,1986,125,26.3
1003,1003,1986,128,26.1
1004,1004,1986,131,26.2
1005,1005,1986,134,26.3
1006,1006,1986,137,26.0
1007,1007,1986,140,25.8
1008,1008,1986,143,25.5
1009,1009,1986,146,25.4
1010,1010,1986,149,25.0
1011,1011,1986,152,24.8
1012,1012,1986,155,25.4
1013,1013,1986,158,24.9
1014,1014,1986,161,24.4
1015,1015,1986,164,24.1
1016,1016,1986,167,24.2
1017,1017,1986,170,24.0
1018,1018,1986,173,23.6
1019,1019,1986,176,23.4
1020,1020,1986,179,23.9
1021,1021,1986,182,23.8
1022,1022,1986,185,23.8
1023,1023,1986,188,23.6
1024,1024,1986,191,23.6
1025,1025,1986,194,23.6
1026,1026,1986,197,23.2
1027,1027,1986,200,23.3
1028,1028,1986,203,23.5
1029,1029,1986,206,24.1
1030,1030,1986,209,24.2
1031,1031,1986,212,24.1
1032,1032,1986,215,24.3
1033,1033,1986,218,24.9
1034,1034,1986,221,25.5
1035,1035,1986,224,25.5
1036,1036,1986,227,25.6
1037,1037,1986,230,26.0
1038,1038,1986,233,26.1
1039,1039,1986,236,26.2
1040,1040,1986,239,26.1
1041,1041,1986,242,26.2
1042,1042,1986,245,26.3
1043,1043,1986,248,26.3
1044,1044,1986,251,26.4
1045,1045,1986,254,26.5
1046,1046,1986,257,26.5
1047,1047,1986,260,26.7
1048,1048,1986,263,26.9
