threeday_yrmo,threeday_yr,year,dayofyear,varPAR-VarZ-VarK
838,838,1984,353,8.7
839,839,1984,356,2.7
840,840,1984,361,6.4
841,841,1985,2,9.5
842,842,1985,5,7.5
843,843,1985,8,10.1
844,844,1985,11,9.4
845,845,1985,14,4.8
846,846,1985,17,5.8
847,847,1985,20,7.3
848,848,1985,23,12.5
849,849,1985,26,14.9
850,850,1985,29,15.2
851,851,1985,32,14.6
852,852,1985,35,12.9
853,853,1985,38,8.9
854,854,1985,41,10.2
855,855,1985,44,13.7
856,856,1985,47,18.7
857,857,1985,50,12.2
858,858,1985,53,10.6
859,859,1985,56,22.8
860,860,1985,59,23.7
861,861,1985,62,23.5
862,862,1985,65,20.7
863,863,1985,68,34.8
864,864,1985,71,35.3
865,865,1985,74,35.6
866,866,1985,77,37.5
867,867,1985,80,26.6
868,868,1985,83,29.0
869,869,1985,86,19.4
870,870,1985,89,19.1
871,871,1985,92,16.2
872,872,1985,95,31.7
873,873,1985,98,44.1
874,874,1985,101,31.7
875,875,1985,104,28.7
876,876,1985,107,32.9
877,877,1985,110,52.4
878,878,1985,113,32.7
879,879,1985,116,26.0
880,880,1985,119,50.7
881,881,1985,122,32.1
882,882,1985,125,37.3
883,883,1985,128,48.8
884,884,1985,131,40.4
885,885,1985,134,35.7
886,886,1985,137,58.6
887,887,1985,140,55.5
888,888,1985,143,35.2
889,889,1985,146,52.4
890,890,1985,149,33.0
891,891,1985,152,43.8
892,892,1985,155,29.4
893,893,1985,158,20.3
894,894,1985,161,36.5
895,895,1985,164,17.7
896,896,1985,167,32.8
897,897,1985,170,42.2
898,898,1985,173,45.0
899,899,1985,176,43.6
900,900,1985,179,40.6
901,901,1985,182,42.5
902,902,1985,185,44.9
903,903,1985,188,41.4
904,904,1985,191,46.3
905,905,1985,194,45.5
906,906,1985,197,44.5
907,907,1985,200,47.5
908,908,1985,203,48.0
909,909,1985,206,48.8
910,910,1985,209,48.0
911,911,1985,212,37.0
912,912,1985,215,36.6
913,913,1985,218,42.4
914,914,1985,221,33.9
915,915,1985,224,45.0
916,916,1985,227,47.4
917,917,1985,230,45.8
918,918,1985,233,42.1
919,919,1985,236,46.6
920,920,1985,239,43.1
921,921,1985,242,31.0
922,922,1985,245,38.4
923,923,1985,248,19.3
924,924,1985,251,37.0
925,925,1985,254,26.2
926,926,1985,257,21.3
927,927,1985,260,25.9
928,928,1985,263,28.3
929,929,1985,266,33.8
930,930,1985,269,36.0
931,931,1985,272,35.5
932,932,1985,275,19.0
933,933,1985,278,20.8
934,934,1985,281,33.4
935,935,1985,284,15.4
936,936,1985,287,12.9
937,937,1985,290,18.1
938,938,1985,293,10.3
939,939,1985,296,19.5
940,940,1985,299,14.6
941,941,1985,302,16.1
942,942,1985,305,4.3
943,943,1985,308,12.0
944,944,1985,311,10.7
945,945,1985,314,14.5
946,946,1985,317,15.1
947,947,1985,320,8.0
948,948,1985,323,10.4
949,949,1985,326,8.6
950,950,1985,329,7.9
951,951,1985,332,8.8
952,952,1985,335,9.9
953,953,1985,338,4.2
954,954,1985,341,6.3
955,955,1985,344,10.3
956,956,1985,347,8.5
957,957,1985,350,6.7
958,958,1985,353,10.0
959,959,1985,356,10.1
960,960,1985,360,8.2
961,961,1986,2,6.5
962,962,1986,5,7.2
963,963,1986,8,5.3
964,964,1986,11,5.9
965,965,1986,14,5.2
966,966,1986,17,7.1
967,967,1986,20,11.3
968,968,1986,23,5.8
969,969,1986,26,12.0
970,970,1986,29,9.2
971,971,1986,32,12.9
972,972,1986,35,7.6
973,973,1986,38,19.2
974,974,1986,41,19.1
975,975,1986,44,20.7
976,976,1986,47,9.9
977,977,1986,50,21.5
978,978,1986,53,11.5
979,979,1986,56,12.1
980,980,1986,59,20.9
981,981,1986,62,19.9
982,982,1986,65,12.4
983,983,1986,68,22.5
984,984,1986,71,18.8
985,985,1986,74,30.4
986,986,1986,77,15.2
987,987,1986,80,28.2
988,988,1986,83,20.7
989,989,1986,86,9.5
990,990,1986,89,25.8
991,991,1986,92,37.9
992,992,1986,95,33.5
993,993,1986,98,40.1
994,994,1986,101,27.9
995,995,1986,104,28.9
996,996,1986,107,32.0
997,997,1986,110,14.4
998,998,1986,113,45.5
999,999,1986,116,19.3
1000,1000,1986,119,39.4
1001,1001,1986,122,18.4
1002,1002,1986,125,40.7
1003,1003,1986,128,41.3
1004,1004,1986,131,36.6
1005,1005,1986,134,43.7
1006,1006,1986,137,23.7
1007,1007,1986,140,30.6
1008,1008,1986,143,36.1
1009,1009,1986,146,15.4
1010,1010,1986,149,47.8
1011,1011,1986,152,46.9
1012,1012,1986,155,46.3
1013,1013,1986,158,32.1
1014,1014,1986,161,43.0
1015,1015,1986,164,41.7
1016,1016,1986,167,24.7
1017,1017,1986,170,23.6
1018,1018,1986,173,24.5
1019,1019,1986,176,33.6
1020,1020,1986,179,34.1
1021,1021,1986,182,18.8
1022,1022,1986,185,36.5
1023,1023,1986,188,34.2
1024,1024,1986,191,23.5
1025,1025,1986,194,34.7
1026,1026,1986,197,22.1
1027,1027,1986,200,33.4
1028,1028,1986,203,34.0
1029,1029,1986,206,36.0
1030,1030,1986,209,32.2
1031,1031,1986,212,37.4
1032,1032,1986,215,38.0
1033,1033,1986,218,40.9
1034,1034,1986,221,42.9
1035,1035,1986,224,33.0
1036,1036,1986,227,41.4
1037,1037,1986,230,40.3
1038,1038,1986,233,44.2
1039,1039,1986,236,34.8
1040,1040,1986,239,44.6
1041,1041,1986,242,24.5
1042,1042,1986,245,33.4
1043,1043,1986,248,39.3
1044,1044,1986,251,34.9
1045,1045,1986,254,34.6
1046,1046,1986,257,27.9
1047,1047,1986,260,25.1
1048,1048,1986,263,36.0
1049,1049,1986,266,23.7
1050,1050,1986,269,34.6
1051,1051,1986,272,17.8
