timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
2106,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-16,Summer
2107,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-19,Summer
2108,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-22,Summer
2109,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-25,Summer
2110,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-28,Summer
2111,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-31,Summer
2112,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-08-03,Summer
2113,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-08-06,Summer
2114,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-08-09,Summer
2115,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-08-12,Summer
2116,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-08-15,Summer
