Title,YEAR,TIMESTEP,CHIN_H_MT_KM2,COHO_H_MT_KM2,CHUM_H_MT_KM2,SOCKEYE_H_MT_KM2,PINK_H_MT_KM2,CHIN_H_N,COHO_H_N,CHUM_H_N,SOCKEYE_H_N,PINK_H_N
Weight,1,1,1,1,1,1,1,1,1,1,1,1
Type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Timestep,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval
168,1964.0,169.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
169,1964.0,170.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
170,1964.0,171.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
171,1964.0,172.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
172,1964.0,173.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
173,1964.0,174.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
174,1964.0,175.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
175,1964.0,176.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
176,1964.0,177.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
177,1964.0,178.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
178,1964.0,179.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
179,1965.0,180.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
180,1965.0,181.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
181,1965.0,182.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
182,1965.0,183.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
183,1965.0,184.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
184,1965.0,185.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
185,1965.0,186.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
186,1965.0,187.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
187,1965.0,188.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
188,1965.0,189.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
189,1965.0,190.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
190,1965.0,191.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0,0.0,0.0,15360000.0,4188000.0,0.0
191,1966.0,192.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
192,1966.0,193.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
193,1966.0,194.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
194,1966.0,195.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
195,1966.0,196.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
196,1966.0,197.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
197,1966.0,198.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
198,1966.0,199.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
199,1966.0,200.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
200,1966.0,201.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
201,1966.0,202.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
202,1966.0,203.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05,0.0,0.0,11299900.0,12454000.0,3991800.0
203,1967.0,204.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
204,1967.0,205.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
205,1967.0,206.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
206,1967.0,207.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
207,1967.0,208.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
208,1967.0,209.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
209,1967.0,210.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
210,1967.0,211.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
211,1967.0,212.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
212,1967.0,213.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
213,1967.0,214.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0,0.0,0.0,22067000.0,21758000.0,0.0
